age,num_children,fertility
15,0.00000,0.00024
16,0.00000,0.00066
17,0.00000,0.00184
18,0.00000,0.00358
19,0.00000,0.00749
20,0.00000,0.01068
21,0.00000,0.01607
22,0.00000,0.02426
23,0.00000,0.03340
24,0.00000,0.04582
25,0.00000,0.06175
26,0.00000,0.07897
27,0.00000,0.09553
28,0.00000,0.11259
29,0.00000,0.12739
30,0.00000,0.13651
31,0.00000,0.13860
32,0.00000,0.13093
33,0.00000,0.12329
34,0.00000,0.10832
35,0.00000,0.09279
36,0.00000,0.07521
37,0.00000,0.05884
38,0.00000,0.04447
39,0.00000,0.03321
40,0.00000,0.02253
41,0.00000,0.01471
42,0.00000,0.00913
43,0.00000,0.00502
44,0.00000,0.00223
45,0.00000,0.00124
46,0.00000,0.00067
47,0.00000,0.00034
48,0.00000,0.00018
49,0.00000,0.00010
50,0.00000,0.00005
15,1.00000,0.00024
16,1.00000,0.00066
17,1.00000,0.00184
18,1.00000,0.00358
19,1.00000,0.00749
20,1.00000,0.01068
21,1.00000,0.01607
22,1.00000,0.02426
23,1.00000,0.03340
24,1.00000,0.04582
25,1.00000,0.06175
26,1.00000,0.07897
27,1.00000,0.09553
28,1.00000,0.11259
29,1.00000,0.12739
30,1.00000,0.13651
31,1.00000,0.13860
32,1.00000,0.13093
33,1.00000,0.12329
34,1.00000,0.10832
35,1.00000,0.09279
36,1.00000,0.07521
37,1.00000,0.05884
38,1.00000,0.04447
39,1.00000,0.03321
40,1.00000,0.02253
41,1.00000,0.01471
42,1.00000,0.00913
43,1.00000,0.00502
44,1.00000,0.00223
45,1.00000,0.00124
46,1.00000,0.00067
47,1.00000,0.00034
48,1.00000,0.00018
49,1.00000,0.00010
50,1.00000,0.00005
15,2.00000,0.00024
16,2.00000,0.00066
17,2.00000,0.00184
18,2.00000,0.00358
19,2.00000,0.00749
20,2.00000,0.01068
21,2.00000,0.01607
22,2.00000,0.02426
23,2.00000,0.03340
24,2.00000,0.04582
25,2.00000,0.06175
26,2.00000,0.07897
27,2.00000,0.09553
28,2.00000,0.11259
29,2.00000,0.12739
30,2.00000,0.13651
31,2.00000,0.13860
32,2.00000,0.13093
33,2.00000,0.12329
34,2.00000,0.10832
35,2.00000,0.09279
36,2.00000,0.07521
37,2.00000,0.05884
38,2.00000,0.04447
39,2.00000,0.03321
40,2.00000,0.02253
41,2.00000,0.01471
42,2.00000,0.00913
43,2.00000,0.00502
44,2.00000,0.00223
45,2.00000,0.00124
46,2.00000,0.00067
47,2.00000,0.00034
48,2.00000,0.00018
49,2.00000,0.00010
50,2.00000,0.00005